name,email,phone,enrolNbr,dateAdmission
name 1,name1@domain.ext,212677886655,1001,"1-Dec, 2021s"
name 2,name2@domain.ext,212677886655,1002,"2-Dec, 2021s"
name 3,name3@domain.ext,212677886655,1003,"3-Dec, 2021s"
name 4,name4@domain.ext,212677886655,1004,"4-Dec, 2021s"
name 5,name5@domain.ext,212677886655,1005,"5-Dec, 2021s"
name 6,name6@domain.ext,212677886655,1006,"6-Dec, 2021s"
name 7,name7@domain.ext,212677886655,1007,"7-Dec, 2021s"
name 8,name8@domain.ext,212677886655,1008,"8-Dec, 2021s"
name 9,name9@domain.ext,212677886655,1009,"9-Dec, 2021s"
name 10,name10@domain.ext,212677886655,1010,"10-Dec, 2021s"
